Source,Target,Weight,Type
ENG18440_Disraeli,ENG18450_Disraeli,6,undirected
ENG18440_Disraeli,ENG18570_Bronte,2,undirected
ENG18440_Disraeli,ENG19120_Wells,1,undirected
ENG18450_Disraeli,ENG18440_Disraeli,6,undirected
ENG18450_Disraeli,ENG18481_Dickens,1,undirected
ENG18450_Disraeli,ENG18570_Bronte,2,undirected
ENG18471_Bronte,ENG18481_Dickens,2,undirected
ENG18471_Bronte,ENG18530_Dickens,3,undirected
ENG18471_Bronte,ENG18570_Bronte,6,undirected
ENG18481_Dickens,ENG18450_Disraeli,1,undirected
ENG18481_Dickens,ENG18471_Bronte,2,undirected
ENG18481_Dickens,ENG18530_Dickens,6,undirected
ENG18481_Dickens,ENG18570_Bronte,3,undirected
ENG18481_Dickens,ENG18650_Trollope,1,undirected
ENG18481_Dickens,ENG18742_Trollope,2,undirected
ENG18481_Dickens,ENG19120_Wells,4,undirected
ENG18530_Dickens,ENG18471_Bronte,3,undirected
ENG18530_Dickens,ENG18481_Dickens,6,undirected
ENG18530_Dickens,ENG18650_Trollope,2,undirected
ENG18530_Dickens,ENG19090_Wells,1,undirected
ENG18570_Bronte,ENG18440_Disraeli,2,undirected
ENG18570_Bronte,ENG18450_Disraeli,2,undirected
ENG18570_Bronte,ENG18471_Bronte,6,undirected
ENG18570_Bronte,ENG18481_Dickens,3,undirected
ENG18570_Bronte,ENG18952_Wells,1,undirected
ENG18570_Bronte,ENG19090_Wells,2,undirected
ENG18650_Trollope,ENG18481_Dickens,1,undirected
ENG18650_Trollope,ENG18530_Dickens,2,undirected
ENG18650_Trollope,ENG18742_Trollope,6,undirected
ENG18742_Trollope,ENG18481_Dickens,2,undirected
ENG18742_Trollope,ENG18650_Trollope,6,undirected
ENG18742_Trollope,ENG19120_Wells,1,undirected
ENG18952_Wells,ENG18570_Bronte,1,undirected
ENG18952_Wells,ENG19090_Wells,5,undirected
ENG18952_Wells,ENG19120_Wells,3,undirected
ENG19090_Wells,ENG18530_Dickens,1,undirected
ENG19090_Wells,ENG18570_Bronte,2,undirected
ENG19090_Wells,ENG18952_Wells,5,undirected
ENG19090_Wells,ENG19120_Wells,6,undirected
ENG19120_Wells,ENG18440_Disraeli,1,undirected
ENG19120_Wells,ENG18481_Dickens,4,undirected
ENG19120_Wells,ENG18742_Trollope,1,undirected
ENG19120_Wells,ENG18952_Wells,3,undirected
ENG19120_Wells,ENG19090_Wells,6,undirected
