"ENG18440_Disraeli" "ENG18450_Disraeli" "ENG18471_Bronte" "ENG18481_Dickens" "ENG18530_Dickens" "ENG18570_Bronte" "ENG18650_Trollope" "ENG18742_Trollope" "ENG18952_Wells" "ENG19090_Wells" "ENG19120_Wells"
"the" 5.81708116204325 5.84940805840657 3.82529212843607 4.69302484066115 4.12894678737028 4.26530271863012 3.65316778510997 5.24123069555848 6.93279863895978 4.32508200748544 4.38791753912004
"and" 3.15099697319562 3.45038816866898 3.97093782435464 3.86351321911954 3.51622874806801 3.26680380274643 2.49842549244081 2.93786663474201 3.78539312188601 4.0721954885045 4.16994180708487
"to" 2.49882984366711 2.33088722481279 2.92212140489503 2.6446617994537 2.82457496136012 2.60966253405237 3.2265770671035 2.79660002394349 2.11751124073399 2.26730827589197 2.57739789818552
"of" 3.72203326364402 3.38725606630746 1.85405296815884 2.53908759307567 2.35013247957607 2.96102740868405 2.17142431660167 2.27702621812522 3.54235022481468 3.23116717966503 3.29935994398684
"a" 2.57684026585952 2.55966296208323 1.95366123145947 2.02127124750728 2.13430117023626 2.49402346138878 1.57295632021295 2.13575960732671 2.48207558634099 2.64085779107238 2.60580079660222
"i" 0.800698973382844 1.47766623745171 3.41095523487461 1.32945296920473 2.61950761757562 3.31795185411686 2.20648231742693 1.30252603854902 3.84615384615385 3.23333477839916 0.95579055834814
"in" 1.73432770618155 1.58080284031954 1.24803294606087 1.76850760525302 1.73686244204019 1.69455718018569 1.40263028080528 1.33125823057584 1.65876777251185 1.72396352653863 1.44194249403869
"that" 1.43726401847287 1.25389106274456 1.04044597716543 1.44340608085085 1.3965555310223 0.893978984822372 2.23254313219969 1.7167484736023 1.34585004253251 1.38292799237005 1.34946794105408
"he" 1.40044309919805 1.01573927066795 1.78625238557605 1.26018735232179 1.28477588871716 0.683827208539501 1.98124241831951 2.26505447144738 0.373678454247175 0.853311368332828 1.53838024215122
"it" 0.861859144381689 0.979485192084109 1.16432852311916 1.22415805966898 1.50916317067785 1.05965419469617 1.42745010439838 1.22830120914641 1.33065986146555 1.41110677591364 1.35475220122463
"was" 1.6207445314694 1.20326036679126 0.942511802323635 1.12696275855905 0.914937072201369 1.21309834880747 1.42713985660347 1.96576080450138 1.6769959897922 1.20952009364027 1.35211007113935
"his" 1.49842418947171 0.978860121763698 1.19027689423109 1.42413459873423 1.12883638772356 0.56818813587591 1.11472032712528 1.46534179336765 0.391906671527525 0.561408072137686 0.957772155912096
"you" 0.607857209723219 1.00073758297809 1.58619881474537 1.0560213606225 1.22157209096931 1.01851337076778 1.50004808840821 0.991260624925177 0.416210961234658 0.809959393650381 0.70941192789627
"her" 0.559178706275158 0.586315960545561 1.29741855559648 1.3213533607789 0.736641642746743 1.37766164452104 1.47305653025071 0.323237160301688 0.227852716004375 0.593922053149521 1.21273770914111
"had" 1.02973757293974 0.809466064932305 0.574212341380119 0.709972573050089 0.577942150585118 0.915105353866681 1.38432566090537 1.45097569735424 1.07546481954065 0.74131876706984 1.11167623337935
"with" 0.871220395044778 0.871348026652998 0.672983560451334 1.01356824059747 0.934809008611172 0.795018624562184 0.749248424716821 0.65365736861008 0.659253858305991 0.835248045548475 0.955130025826822
"as" 0.653415296283584 0.588191171506795 0.782636354504972 0.882578021572888 0.837105321262972 0.900650469783733 1.08586728219829 1.18999161977733 0.820269777615749 0.62715856707273 0.61891897247561
"she" 0.354479358442288 0.391919090897726 1.11745404627181 0.727847570955363 0.52053433429013 0.976260632679157 1.39828681167649 0.272955824254759 0.136711629602625 0.705914654412508 1.52913278685276
"for" 0.71332730052735 0.763210861221887 0.694746710416178 0.671150311974573 0.673989843232502 0.648245955412242 0.72132612317458 0.720699150005986 0.665329930732774 0.732648372133351 0.761593997080446
"not" 0.759509470465254 0.786963533397507 0.781799310275555 0.527312438205574 0.625689997792007 0.785011397120142 1.02785094454941 0.782952232730755 0.34633612832665 0.346815797459574 0.350082236298904
"at" 0.614098043498611 0.613819054643647 0.655405631633576 0.675339764608621 0.691101788474277 0.636014899649747 0.685027131169665 0.794923979408596 0.741280836067566 0.701579456944264 0.624203232646159
"but" 0.619714793896465 0.63319623457639 0.566678943315365 0.580937431921395 0.564694192978582 0.579307277478179 0.933535614895617 0.88830360349575 0.622797423745291 0.523113827834858 0.523802289405719
"my" 0.179736012731301 0.349414309109775 0.922422740817625 0.478714787650611 1.01816074188563 1.23200088953133 0.371366610511816 0.208308392194421 1.33977397010572 1.27454805566394 0.166454195372309
"is" 0.717071800792586 0.816966908777237 0.547426926038772 0.600767507722558 0.959096930889821 0.514816256185022 0.532385216072077 0.40703938704657 0.322031838619516 0.388722706319273 0.264213008527475
"said" 0.579773457733953 1.06324461501919 0.312217497572572 0.703828042520151 0.480238463236918 0.252404514371491 0.746456194562597 0.660840416616784 0.270385222991858 0.541177150619211 0.671761574181105
"s" 0.264611352076637 0.370041629683339 0.7056282853986 0.703269448835611 0.694689776992714 0.334686162228276 0.627941536905526 0.770980486052915 0.2187386073642 0.78178061010679 0.809152338615392
"be" 0.574780790713639 0.515683014339113 0.61690159708039 0.489048770814597 0.63866195628174 0.483682659698671 0.931363880331221 0.845205315455525 0.282537367845425 0.284677967081401 0.41745655347341
"him" 0.47617561706244 0.365041067120051 0.776777044899052 0.663050703548746 0.574630161183484 0.29465725246011 0.793303611594581 0.842810966119957 0.121521448535667 0.29696102657476 0.45774903727385
"on" 0.508003869316941 0.474428373191984 0.675494693139586 0.646851486697091 0.572974166482667 0.649357869572469 0.496086224067162 0.639291272596672 0.416210961234658 0.450138003786072 0.449162114496707
"have" 0.509252036072019 0.651948344188721 0.531523085679847 0.544908139268577 0.605818061382204 0.523711569466837 0.709226459172941 0.454926373757931 0.370640418033783 0.38655510758515 0.263552476006156
"me" 0.151028177364496 0.25690390168894 0.893963237017444 0.370347612849889 0.673437844998896 0.846166675932618 0.479332843141817 0.205914042858853 0.853688175963057 0.819352321498244 0.147298752254067
"mr" 0.357599775329984 0.266905026815517 0.259483711119296 0.668078046709604 0.853941267387944 0.114527158503364 0.561858756588888 0.284927570932599 0.00303803621339166 0.0245661189867198 0.338192650915168
"so" 0.269604019096951 0.304409246040179 0.299661834131315 0.443523385524603 0.556966217708103 0.360260187913493 0.511288366017938 0.452532024422363 0.34633612832665 0.314301816447739 0.365935016810553
"all" 0.481792367460293 0.408170919228413 0.238557605383868 0.347445271783757 0.414274674321042 0.275754711736254 0.437449390828455 0.466898120435772 0.361526309393608 0.581638993656161 0.504646846287477
"by" 0.532343121040971 0.449425560375542 0.377506947467104 0.440451120259634 0.402406712298521 0.462556290654361 0.319244980966298 0.368729797677481 0.303803621339166 0.33019754049797 0.323660935446157
"this" 0.439354697787624 0.49005513120226 0.247765091907456 0.393249953916021 0.434146610730846 0.283538110857842 0.380363796564316 0.363941099006345 0.467857576862316 0.371381916446294 0.389053655056707
"which" 0.718944050925204 0.522558787863635 0.153179093983326 0.351355427575536 0.316294987856039 0.350252960471452 0.474989374013024 0.500419011133724 0.258233078138291 0.132223522781463 0.204104549087474
"there" 0.316410272412394 0.335037691740321 0.260320755348713 0.378167924433446 0.341410907485096 0.235725801968088 0.457305249702938 0.572249491200766 0.38279256288735 0.383664975939654 0.334229455787256
"no" 0.315786189034855 0.360665574877174 0.328958382160913 0.381240189698415 0.347482888054758 0.390281870239618 0.466612683550352 0.404645037711002 0.279499331632033 0.299851158220257 0.258268215835607
"t" 0.0430617530502075 0.136890400170019 0.482137476144239 0.313929650711369 0.377842790903069 0.0700505920942903 0.509116631453542 0.612953429905423 0.0820269777615749 0.513720899986994 0.542957732523961
"they" 0.516116953224951 0.580690327661862 0.262831888036964 0.250249970673832 0.242603223669684 0.241285372769222 0.31210928168328 0.598587333892015 0.370640418033783 0.374272048091791 0.55352625286506
"would" 0.303928604861609 0.283156855146204 0.371647637861185 0.301081995966954 0.242603223669684 0.312447879023739 0.612118899364923 0.541122949838381 0.1822821728035 0.190026155691392 0.282047386603079
"were" 0.487409117858146 0.444424997812254 0.297150701443064 0.290748012802967 0.250055199823361 0.359148273753266 0.325449936864574 0.498024661798156 0.480009721715883 0.324417277206977 0.321679337882201
"from" 0.365712859237994 0.327536847895388 0.405966451267285 0.330128867563023 0.293663060278207 0.405848668482793 0.332585636147591 0.399856339039866 0.373678454247175 0.30563142151125 0.305826557370552
"if" 0.219677348893812 0.284406995787026 0.373321726320019 0.402187452868658 0.378118790019872 0.234613887807861 0.424729231236989 0.30887106428828 0.151901810669583 0.165460036704672 0.243736500366596
"what" 0.268355852341873 0.311910089885112 0.256135534201627 0.300523402282414 0.357970854493266 0.331350419747595 0.367333389177936 0.229857536214534 0.233928788431158 0.288290631638271 0.235810110110771
"been" 0.280213436515118 0.288157417709492 0.186660863160009 0.271755827528614 0.27737911238684 0.205704119641964 0.46971516149949 0.55548904585179 0.227852716004375 0.20736694556437 0.241754902802639
"one" 0.325147439697944 0.311285019564701 0.244416914989788 0.276224577004932 0.266339147714727 0.282426196697615 0.250059722700521 0.272955824254759 0.373678454247175 0.429907082267597 0.35206383386286
"an" 0.411270945798359 0.306909527321824 0.267854153413466 0.271755827528614 0.273791123868404 0.349141046311225 0.190802393871986 0.213097090865557 0.258233078138291 0.37065938353492 0.393677382705938
"when" 0.237151683464911 0.206273205735645 0.257809622660461 0.345490193887868 0.339754912784279 0.289097681658976 0.333516379532332 0.325631509637256 0.170130027949933 0.203031748096126 0.188912301097145
"or" 0.268979935719412 0.251278268805241 0.260320755348713 0.309740198077321 0.288971075292559 0.359148273753266 0.280153758807159 0.282533221597031 0.2551950419249 0.290458230372393 0.264213008527475
"we" 0.246512934127999 0.388793739295671 0.286269126460642 0.121494126387407 0.364318834179731 0.134541613387446 0.197627845360089 0.210702741529989 0.249118969498116 0.621378303781737 0.288652711816266
"very" 0.300808187973913 0.254403620407296 0.109652794053638 0.269800749632725 0.298907043497461 0.211263690443098 0.337549600866212 0.253801029570214 0.258233078138291 0.232655597462464 0.256947150792969
"do" 0.137922426436172 0.248777987523596 0.214283322730773 0.22539255171181 0.284279090306911 0.194584978039695 0.446446576880955 0.229857536214534 0.0668367966946166 0.232655597462464 0.199480821438243
"who" 0.428121196991918 0.395044442499781 0.128067767100814 0.299126918071064 0.224939280194303 0.114527158503364 0.250059722700521 0.306476714952712 0.0789889415481833 0.134391121515585 0.147298752254067
"are" 0.263987268699098 0.377542473528272 0.250276224595708 0.192994118008502 0.298079046147052 0.257964085172625 0.239201049878538 0.193942296181013 0.1458257382428 0.19147122151414 0.143996089647474
"up" 0.119824008487534 0.169394056831394 0.276224595707637 0.260025360153278 0.275723117686023 0.152332239951076 0.255644183008969 0.241829282892374 0.2187386073642 0.32152714556148 0.235810110110771
"out" 0.0792585889474834 0.13126476728632 0.25529848997221 0.260304656995548 0.29393905939501 0.196808806360149 0.179012977665261 0.275350173590327 0.221776643577591 0.296238493663386 0.295258037029453
"now" 0.166630261802977 0.177519970996737 0.191683128536512 0.19746286748482 0.250883197173769 0.24906877189081 0.261228643317418 0.249012330899078 0.240004860857941 0.198696550627881 0.219957329599123
"little" 0.113583174712142 0.102511532547412 0.148993872836241 0.257790985415119 0.317950982556856 0.215711347084005 0.142403737865433 0.0718304800670418 0.34633612832665 0.258666782271932 0.27676312643253
"then" 0.167254345180516 0.178770111637559 0.241905782301537 0.150540997983477 0.151523515124752 0.233501973647634 0.304353086810435 0.239434933556806 0.410134888807875 0.273839973410789 0.245718097930552
"will" 0.190969513527007 0.326286707254566 0.202564703518934 0.160316387462923 0.223283285493486 0.251292600211264 0.33165489276285 0.138872261462947 0.112407339895492 0.0975419430355053 0.0838876302074733
"your" 0.167878428558055 0.248777987523596 0.34151404560217 0.216734349601443 0.234599249282402 0.262411741813532 0.231444855005693 0.155632706811924 0.0243042897071333 0.08959408101039 0.112951061145495
"could" 0.220925515648891 0.168768986510982 0.2352094284662 0.201931616961139 0.188783395893133 0.213487518763551 0.265882360241125 0.277744522925895 0.279499331632033 0.132946055692837 0.194857093789013
"them" 0.20532343121041 0.290657698991137 0.194194261224763 0.19774216432709 0.183539412673879 0.174570523155612 0.208176270387158 0.270561474919191 0.261271114351683 0.165460036704672 0.216654666992529
"their" 0.406902362155584 0.472553162230751 0.123882545953728 0.137414046396791 0.126407595495694 0.194584978039695 0.141783242275606 0.277744522925895 0.279499331632033 0.112715134174362 0.252323423143738
"more" 0.238399850219989 0.173769549074271 0.181638597783507 0.222599583289111 0.198995363214838 0.185689664757881 0.172808021766985 0.110140069436131 0.179244136590108 0.203031748096126 0.214012536907255
"some" 0.255874184791088 0.243152354639897 0.126393678641979 0.179867166421816 0.157595495694414 0.225718574526047 0.188630659307589 0.141266610798515 0.288613440272208 0.209534544298493 0.169096325457584
"about" 0.127313009018005 0.125014064082209 0.131415944018482 0.14160349903084 0.190715389710753 0.111191416022683 0.234857580749745 0.354363701664073 0.215700571150808 0.267337177208422 0.233828512546815
"know" 0.0661528380191594 0.125014064082209 0.102119395988884 0.187408181163104 0.246743210421727 0.125646300105632 0.264951616856383 0.174787501496468 0.0850650139749666 0.17918816202078 0.124180114007913
"into" 0.142291010078947 0.11376279831481 0.22097967656611 0.184056619055865 0.204791344667697 0.156779896591983 0.137750020941726 0.124506165449539 0.349374164540041 0.231210531639716 0.227223187333628
"has" 0.142915093456486 0.256278831368529 0.138112297853819 0.153892560090716 0.297527047913447 0.121198643464725 0.188320411512675 0.14844965880522 0.0668367966946166 0.0924842126558865 0.0713375123024182
"man" 0.141666926701407 0.163768423947694 0.0778451133357887 0.157523419040224 0.173603444468978 0.102296102740868 0.276741033063107 0.526756853824973 0.212662534937416 0.113437667085736 0.16116993520176
"any" 0.136674259681093 0.112512657673988 0.121371413265477 0.180984353790896 0.187679399425922 0.114527158503364 0.278292272037676 0.272955824254759 0.121521448535667 0.133668588604211 0.13606969939165
"should" 0.167878428558055 0.159392931704817 0.207586968895436 0.124845688494646 0.155111503643188 0.153444154111303 0.364230911228798 0.227463186878966 0.0698748329080083 0.0643054291122961 0.0733191098663743
"upon" 0.0686491715293163 0.0887599854983686 0.0175779288177587 0.303874964389653 0.217487304040627 0.052259965530661 0.164431331304313 0.0909852747515863 0.343298092113258 0.161847372147801 0.192214963703738
