Source,Target,Weight,Type
..//primary_set/ENG18481_Dickens,..//primary_set/ENG18530_Dickens,6,undirected
..//primary_set/ENG18481_Dickens,..//secondary_set/ENG18440_Disraeli,1,undirected
..//primary_set/ENG18481_Dickens,..//secondary_set/ENG18471_Bronte,4,undirected
..//primary_set/ENG18481_Dickens,..//secondary_set/ENG18570_Bronte,1,undirected
..//primary_set/ENG18530_Dickens,..//primary_set/ENG18481_Dickens,6,undirected
..//primary_set/ENG18530_Dickens,..//secondary_set/ENG18471_Bronte,1,undirected
..//primary_set/ENG18530_Dickens,..//secondary_set/ENG18650_Trollope,4,undirected
..//secondary_set/ENG18440_Disraeli,..//primary_set/ENG18481_Dickens,1,undirected
..//secondary_set/ENG18440_Disraeli,..//secondary_set/ENG18450_Disraeli,6,undirected
..//secondary_set/ENG18440_Disraeli,..//secondary_set/ENG18570_Bronte,4,undirected
..//secondary_set/ENG18450_Disraeli,..//secondary_set/ENG18440_Disraeli,6,undirected
..//secondary_set/ENG18450_Disraeli,..//secondary_set/ENG18570_Bronte,3,undirected
..//secondary_set/ENG18450_Disraeli,..//secondary_set/ENG18650_Trollope,1,undirected
..//secondary_set/ENG18471_Bronte,..//primary_set/ENG18481_Dickens,4,undirected
..//secondary_set/ENG18471_Bronte,..//primary_set/ENG18530_Dickens,1,undirected
..//secondary_set/ENG18471_Bronte,..//secondary_set/ENG18570_Bronte,6,undirected
..//secondary_set/ENG18471_Bronte,..//secondary_set/ENG18650_Trollope,2,undirected
..//secondary_set/ENG18471_Bronte,..//secondary_set/ENG18742_Trollope,1,undirected
..//secondary_set/ENG18570_Bronte,..//primary_set/ENG18481_Dickens,1,undirected
..//secondary_set/ENG18570_Bronte,..//secondary_set/ENG18440_Disraeli,4,undirected
..//secondary_set/ENG18570_Bronte,..//secondary_set/ENG18450_Disraeli,3,undirected
..//secondary_set/ENG18570_Bronte,..//secondary_set/ENG18471_Bronte,6,undirected
..//secondary_set/ENG18570_Bronte,..//secondary_set/ENG19120_Wells,1,undirected
..//secondary_set/ENG18650_Trollope,..//primary_set/ENG18530_Dickens,4,undirected
..//secondary_set/ENG18650_Trollope,..//secondary_set/ENG18450_Disraeli,1,undirected
..//secondary_set/ENG18650_Trollope,..//secondary_set/ENG18471_Bronte,2,undirected
..//secondary_set/ENG18650_Trollope,..//secondary_set/ENG18742_Trollope,6,undirected
..//secondary_set/ENG18742_Trollope,..//secondary_set/ENG18471_Bronte,1,undirected
..//secondary_set/ENG18742_Trollope,..//secondary_set/ENG18650_Trollope,6,undirected
..//secondary_set/ENG18742_Trollope,..//secondary_set/ENG18952_Wells,3,undirected
..//secondary_set/ENG18742_Trollope,..//secondary_set/ENG19090_Wells,1,undirected
..//secondary_set/ENG18952_Wells,..//secondary_set/ENG18742_Trollope,3,undirected
..//secondary_set/ENG18952_Wells,..//secondary_set/ENG19090_Wells,5,undirected
..//secondary_set/ENG18952_Wells,..//secondary_set/ENG19120_Wells,4,undirected
..//secondary_set/ENG19090_Wells,..//secondary_set/ENG18742_Trollope,1,undirected
..//secondary_set/ENG19090_Wells,..//secondary_set/ENG18952_Wells,5,undirected
..//secondary_set/ENG19090_Wells,..//secondary_set/ENG19120_Wells,6,undirected
..//secondary_set/ENG19120_Wells,..//secondary_set/ENG18570_Bronte,1,undirected
..//secondary_set/ENG19120_Wells,..//secondary_set/ENG18952_Wells,4,undirected
..//secondary_set/ENG19120_Wells,..//secondary_set/ENG19090_Wells,6,undirected
