Source,Target,Weight,Type
ELTeC-eng_metadata.tsv,ENG18831_Ouida,1,undirected
ELTeC-eng_metadata.tsv,ENG18970_Phillpots,2,undirected
ELTeC-eng_metadata.tsv,ENG19070_Machen,3,undirected
ENG18400_Trollope,ENG18470_Aguilar,2,undirected
ENG18400_Trollope,ENG18700_Oliphant,2,undirected
ENG18400_Trollope,ENG18721_Eliot,1,undirected
ENG18400_Trollope,ENG18890_Nesbit,2,undirected
ENG18400_Trollope,ENG18911_Gissing,5,undirected
ENG18410_Sinclair,ENG18440_Disraeli,1,undirected
ENG18410_Sinclair,ENG18570_Bronte,2,undirected
ENG18410_Sinclair,ENG18741_Bulwer,5,undirected
ENG18411_Tupper,ENG18481_Dickens,1,undirected
ENG18411_Tupper,ENG18482_Gaskell,2,undirected
ENG18411_Tupper,ENG18640_Blackmore,5,undirected
ENG18440_Disraeli,ENG18410_Sinclair,1,undirected
ENG18440_Disraeli,ENG18450_Disraeli,5,undirected
ENG18440_Disraeli,ENG18490_Skene,3,undirected
ENG18440_Disraeli,ENG18702_Jenkins,3,undirected
ENG18440_Disraeli,ENG18800_Disraeli,4,undirected
ENG18440_Disraeli,ENG18880_Ward,1,undirected
ENG18450_Disraeli,ENG18440_Disraeli,5,undirected
ENG18450_Disraeli,ENG18460_Reynolds,1,undirected
ENG18450_Disraeli,ENG18702_Jenkins,2,undirected
ENG18450_Disraeli,ENG18800_Disraeli,6,undirected
ENG18450_Disraeli,ENG19080_Chesterton,2,undirected
ENG18460_Reynolds,ENG18450_Disraeli,1,undirected
ENG18460_Reynolds,ENG18500_Ainsworth,3,undirected
ENG18460_Reynolds,ENG18570_Bronte,1,undirected
ENG18460_Reynolds,ENG18621_Braddon,4,undirected
ENG18460_Reynolds,ENG18741_Bulwer,6,undirected
ENG18460_Reynolds,ENG18980_BaringGould,1,undirected
ENG18470_Aguilar,ENG18400_Trollope,2,undirected
ENG18470_Aguilar,ENG18531_Yonge,1,undirected
ENG18470_Aguilar,ENG18651_Yonge,3,undirected
ENG18471_Bronte,ENG18500_Ainsworth,1,undirected
ENG18471_Bronte,ENG18570_Bronte,6,undirected
ENG18471_Bronte,ENG18632_Reade,1,undirected
ENG18471_Bronte,ENG18870_Barry,2,undirected
ENG18480_Thackeray,ENG18481_Dickens,2,undirected
ENG18480_Thackeray,ENG18880_Ward,3,undirected
ENG18480_Thackeray,ENG18910_Yeats,2,undirected
ENG18480_Thackeray,ENG19091_Ward,1,undirected
ENG18481_Dickens,ENG18411_Tupper,1,undirected
ENG18481_Dickens,ENG18480_Thackeray,2,undirected
ENG18481_Dickens,ENG18530_Dickens,4,undirected
ENG18481_Dickens,ENG18540_Dickens,5,undirected
ENG18481_Dickens,ENG18552_Kavanagh,1,undirected
ENG18481_Dickens,ENG18621_Braddon,4,undirected
ENG18481_Dickens,ENG18641_Stretton,1,undirected
ENG18481_Dickens,ENG18872_Lyall,1,undirected
ENG18482_Gaskell,ENG18411_Tupper,2,undirected
ENG18482_Gaskell,ENG18630_Craik,5,undirected
ENG18482_Gaskell,ENG18640_Blackmore,4,undirected
ENG18482_Gaskell,ENG18641_Stretton,3,undirected
ENG18482_Gaskell,ENG18820_Anstey,1,undirected
ENG18482_Gaskell,ENG18890_Nesbit,3,undirected
ENG18482_Gaskell,ENG18972_Morris,3,undirected
ENG18490_Skene,ENG18440_Disraeli,3,undirected
ENG18490_Skene,ENG18670_Ouida,1,undirected
ENG18490_Skene,ENG18831_Ouida,2,undirected
ENG18500_Ainsworth,ENG18460_Reynolds,3,undirected
ENG18500_Ainsworth,ENG18471_Bronte,1,undirected
ENG18500_Ainsworth,ENG18980_BaringGould,2,undirected
ENG18510_Kingsley,ENG18720_Lynn,6,undirected
ENG18510_Kingsley,ENG18770_Mallock,3,undirected
ENG18510_Kingsley,ENG18871_Broughton,1,undirected
ENG18510_Kingsley,ENG19100_Forster,2,undirected
ENG18530_Dickens,ENG18481_Dickens,4,undirected
ENG18530_Dickens,ENG18540_Dickens,6,undirected
ENG18530_Dickens,ENG18871_Broughton,1,undirected
ENG18530_Dickens,ENG18890_Nesbit,1,undirected
ENG18530_Dickens,ENG18900_Doyle,1,undirected
ENG18530_Dickens,ENG18920_Grossmith,3,undirected
ENG18531_Yonge,ENG18470_Aguilar,1,undirected
ENG18531_Yonge,ENG18560_Yonge,6,undirected
ENG18531_Yonge,ENG18651_Yonge,4,undirected
ENG18531_Yonge,ENG18661_Oliphant,2,undirected
ENG18531_Yonge,ENG18890_Nesbit,1,undirected
ENG18540_Dickens,ENG18481_Dickens,5,undirected
