Company,Country,Year,Slogan
Crest,US,1972,Fighting cavities is the whole idea behind Crest.
Crest,US,1974,You can’t beat Crest for fighting cavities.
Crest,US,1975,"The sooner the Crest, the fewer the cavities."
Crest,US,1980,We’re working to make cavities a thing of the past.
Crest,US,1982,Fight cavities with the best Crest yet.
Crest,US,1983,We want what you want. Kids without cavities.
Crest,US,1999,The power behind a healthy smile.
Crest,US,1999,Creating smiles every day.
Crest,US,2009,"Healthy, beautiful smiles for life."
Crest,US,2011,Life opens up if you do Crest.
Neutrogena,US,1955,The soap that makes your skin sing.
Neutrogena,US,1980,Now there is a Neutrogena for hair.
Neutrogena,US,1980,Look for it at better drugstores everywhere.
Neutrogena,US,1988,The sensitive soap for sensitive people.
Neutrogena,US,1995,One drop. All day. Every day.
Neutrogena,US,1995,Pure formula. Amber color. Clear beauty.
Neutrogena,US,2006,#1 dermatologist recommended suncare.
Neutrogena,US,2007,Beautiful. Beneficial.
Neutrogena,US,2010,#1 dermatologist recommended.
Neutrogena,US,2013,#1 dermatologist recommended skincare.
Nivea,UK,1985,"Blueprint for soft, lovely skin."
Nivea,UK,2002,Taking care of you.
Nivea,UK,2003,Stay cool and dry with Nivea deodorant for men.
Nivea,UK,2003,"Stay soft, Nivea soft."
Nivea,UK,2007,Beauty is silence.
Nivea,UK,2007,Beauty is timeless.
Nivea,UK,2008,Beauty is liberating.
Nivea,UK,2009,Beauty is a statement.
Nivea,UK,2009,Beaty is confidence.
Nivea,UK,2009,Beauty is now and forever.
Andrex,UK,1980,"Soft, strong and very long."
Andrex,UK,1984,Longer lasting value.
Andrex,UK,1986,The legendary toilet tissue.
Andrex,UK,1989,Soft. Strong. Long. And lots.
Andrex,UK,2000,Strong even when wet.
Andrex,UK,2001,"Soft, strong and very very clean."
Andrex,UK,2001,At a price you’ll love.
Andrex,UK,2001,Soft strong and long.
Andrex,UK,2003,Looking out for the family.
Andrex,UK,2003,Say thank you.
Dove,US,1980,Dove is 1/4 moisturizing cream.
Dove,US,1982,Dove is better because it doesn’t dry like soap.
Dove,US,1996,For the beauty that’s already there.
Dove,US,2000,No bar is milder.
Dove,US,2003,Who treats delicate skin better than Dove.
Dove,US,2003,Dove for fine colour-treated hair.
Dove,US,2003,Dove is different than soap.
Dove,US,2008,Goodbye damage. Good morning beautiful hair.
Dove,US,2013,You are more beautiful than you think.
Dove,US,2018,Dove cleans beautifully.
Avon,UK,1982,First for Christmas.
Avon,UK,1985,Get to know your Avon lady.
Avon,UK,1985,You never looked so good.
Avon,UK,1985,The beauty business.
Avon,UK,1993,Brings beauty home to you.
Avon,UK,1994,Understanding what makes you beautiful.
Avon,UK,2000,Join the Avon revolution.
Avon,UK,2002,The spirit of summer.
Avon,UK,2003,Let’s talk.
Avon,UK,2008,The company for women.
CoverGirl,US,1981,"Now lipcolor so sheer, so fresh, it had to be called a blush."
CoverGirl,US,1993,Where naturally beautiful skin begins.
CoverGirl,US,1993,Redefining beautiful.
CoverGirl,US,1994,Renew your skin with replenishing make-up.
CoverGirl,US,1994,Magnify your lashes like never before.
CoverGirl,US,1994,Nail color that looks shiny wet long after its day.
CoverGirl,US,1995,Natural. Beautiful. Just right for you. Guaranteed.
CoverGirl,US,1995,Dramatically magnified lashes that still look so natural.
CoverGirl,US,2003,Easy breezy beautiful Cover Girl.
